Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Super Smash Bros. Melee,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
Mario Kart: Double Dash!!,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
Super Mario Sunshine,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
The Legend of Zelda: The Wind Waker,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
Luigi's Mansion,2001.0,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
Animal Crossing,2001.0,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
Metroid Prime,2002.0,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
Sonic Adventure 2 Battle,2001.0,Platform,Sega,1.7,0.59,0.21,0.07,2.56
Pokémon Colosseum,2003.0,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54
Mario Party 4,2002.0,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47
Paper Mario: The Thousand-Year Door,2004.0,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25
Mario Party 5,2003.0,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08
Sonic Mega Collection,2002.0,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05
Star Wars Rogue Leader: Rogue Squadron II,2001.0,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9
Star Fox Adventures,2002.0,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87
Resident Evil 4,2005.0,Action,Capcom,0.98,0.42,0.22,0.06,1.69
Mario Party 6,2004.0,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65
Pikmin,2001.0,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63
Kirby Air Ride,2003.0,Racing,Nintendo,1.01,0.11,0.45,0.04,1.62
Super Mario Strikers,2005.0,Sports,Nintendo,0.98,0.38,0.2,0.04,1.61
Sonic Heroes,2003.0,Platform,Sega,1.05,0.44,0.06,0.04,1.6
The Legend of Zelda: Twilight Princess,2006.0,Action,Nintendo,1.15,0.36,0.04,0.04,1.59
Mario Party 7,2005.0,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57
Mario Golf: Toadstool Tour,2003.0,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53
Super Monkey Ball 2,2002.0,Puzzle,Atari,1.11,0.31,0.06,0.04,1.52
SoulCalibur II,2003.0,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5
Final Fantasy: Crystal Chronicles,2003.0,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49
Super Monkey Ball,2001.0,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46
Mario Superstar Baseball,2005.0,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46
Resident Evil (Remake),2002.0,Action,Capcom,0.63,0.38,0.35,0.05,1.42
LEGO Star Wars: The Video Game,2005.0,Action,Eidos Interactive,1.09,0.28,0.0,0.04,1.41
Donkey Kong Jungle Beat,2004.0,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34
Metroid Prime 2: Echoes,2004.0,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
Resident Evil Zero,2002.0,Action,Capcom,0.54,0.27,0.45,0.04,1.29
Sonic Adventure DX: Director's Cut,2003.0,Platform,Sega,0.87,0.3,0.06,0.03,1.27
Pokemon XD: Gale of Darkness,2005.0,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
Mario Power Tennis,2004.0,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
Need for Speed Underground,2003.0,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21
Pikmin 2,2004.0,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2
Spider-Man: The Movie,2002.0,Action,Activision,0.86,0.27,0.01,0.04,1.19
Donkey Konga,2003.0,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15
Need for Speed Underground 2,2004.0,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14
Tales of Symphonia,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1
Star Fox: Assault,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08
Naruto: Clash of Ninja 2,2003.0,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04
Shrek 2,2004.0,Platform,Activision,0.73,0.26,0.01,0.03,1.02
The Simpsons: Hit & Run,2003.0,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99
Shadow The Hedgehog,2005.0,Platform,Sega,0.76,0.2,0.0,0.03,0.99
LEGO Star Wars II: The Original Trilogy,2006.0,Action,LucasArts,0.75,0.19,0.0,0.03,0.97
SpongeBob SquarePants: Battle for Bikini Bottom,2003.0,Platform,THQ,0.74,0.19,0.0,0.03,0.95
The SpongeBob SquarePants Movie,2004.0,Platform,THQ,0.73,0.19,0.0,0.03,0.94
Cars,2006.0,Racing,THQ,0.72,0.19,0.0,0.03,0.93
Sonic Riders,2006.0,Racing,Sega,0.71,0.18,0.0,0.03,0.92
Finding Nemo,2003.0,Action,THQ,0.69,0.18,0.0,0.02,0.89
Spider-Man 2,2004.0,Action,Activision,0.65,0.17,0.0,0.02,0.84
The Incredibles,2004.0,Action,THQ,0.65,0.17,0.0,0.02,0.84
Tony Hawk's Pro Skater 3,2001.0,Sports,Activision,0.64,0.17,0.0,0.02,0.82
The Legend of Zelda: Four Swords Adventures,2004.0,Action,Nintendo,0.63,0.16,0.0,0.02,0.81
Star Wars Rogue Squadron III: Rebel Strike,2003.0,Simulation,LucasArts,0.62,0.16,0.0,0.02,0.8
Need for Speed: Hot Pursuit 2,2002.0,Racing,Electronic Arts,0.68,0.09,0.0,0.02,0.8
Harvest Moon: A Wonderful Life,2003.0,Role-Playing,Ubisoft,0.61,0.16,0.0,0.02,0.79
James Bond 007: Nightfire,2002.0,Shooter,Electronic Arts,0.6,0.16,0.0,0.02,0.78
James Bond 007: Agent Under Fire,2002.0,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72
Godzilla: Destroy All Monsters Melee,2002.0,Fighting,Atari,0.55,0.14,0.0,0.02,0.71
Yu-Gi-Oh! The Falsebound Kingdom,2002.0,Strategy,Konami Digital Entertainment,0.49,0.13,0.07,0.02,0.71
Spyro: Enter the Dragonfly,2002.0,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71
"WarioWare, Inc.: Mega Party Game$",2003.0,Puzzle,Nintendo,0.2,0.05,0.44,0.02,0.71
Tony Hawk's Underground,2003.0,Sports,Activision,0.54,0.14,0.0,0.02,0.7
Madden NFL 2005,2004.0,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7
Dragon Ball Z: Budokai,2003.0,Fighting,Atari,0.53,0.14,0.0,0.02,0.69
Harry Potter and the Chamber of Secrets,2002.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69
