Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Sims 3,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01
World of Warcraft,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29
Diablo III,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14
Microsoft Flight Simulator,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
StarCraft II: Wings of Liberty,2010.0,Strategy,Activision,2.57,1.68,0.0,0.58,4.84
Warcraft II: Tides of Darkness,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
Half-Life,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
World of Warcraft: The Burning Crusade,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88
The Sims: Unleashed,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
Doom II: Hell on Earth,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61
The Sims: Vacation,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07
The Sims 4,2014.0,Simulation,Electronic Arts,1.0,1.82,0.0,0.23,3.05
The Sims: Livin Large,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99
Star Wars: The Old Republic,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.96
Command & Conquer: Red Alert,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85
Myst,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81
Battlefield 3,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.46,2.78
Riven: The Sequel to Myst,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43
Theme Hospital,1997.0,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4
Monopoly,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39
Half-Life 2,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37
Guild Wars 2,2012.0,Action,NCSoft,0.96,1.07,0.0,0.27,2.31
Tomb Raider II,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29
The Sims: House Party,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16
SimCity 2000,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14
World of Warcraft: Cataclysm,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08
Sim Theme Park,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08
Warcraft: Orcs & Humans,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08
Star Wars: Dark Forces,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95
Who wants to be a millionaire,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94
The Sims: Makin' Magic,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92
World of Warcraft: Mists of Pandaria,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.22,1.82
The Sims: Hot Date,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82
Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72
The Sims 3: Late Night Expansion Pack,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.23,1.7
Sid Meier's Civilization V,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.17,1.68
The Sims: Superstar,2003.0,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68
StarCraft II: Heart of the Swarm,2013.0,Strategy,Activision,0.83,0.66,0.0,0.18,1.67
Diablo,1996.0,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59
