level_0,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.03,5.86,0.36,2.38,14.63
1,Grand Theft Auto V,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61
2,FIFA 16,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57
3,Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98
4,Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,7.66
5,FIFA 17,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59
6,Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16
7,FIFA 15,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08
8,Destiny,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64
9,Uncharted 4: A Thief's End,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38
10,The Last of Us,2014.0,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.71
11,Uncharted: The Nathan Drake Collection,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62
12,Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,1.61,2.0,0.15,0.71,4.46
13,Minecraft,2014.0,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32
14,Battlefield 1,2016.0,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08
15,Watch Dogs,2014.0,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05
16,Far Cry 4,2014.0,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04
17,The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97
18,Assassin's Creed: Unity,2014.0,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96
19,Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95
20,NBA 2K16,2015.0,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88
