Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Call of Duty: Black Ops 3,2015.0,Shooter,Activision,4.59,2.11,0.01,0.68,7.39
Grand Theft Auto V,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,3.22,1.55,0.01,0.48,5.27
Halo 5: Guardians,2015.0,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22
Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66
Assassin's Creed: Unity,2014.0,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5
Destiny,2014.0,Shooter,Activision,2.14,0.92,0.0,0.31,3.37
Gears of War: Ultimate Edition,2015.0,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28
FIFA 16,2015.0,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25
Halo: The Master Chief Collection,2014.0,Shooter,Microsoft Game Studios,1.91,1.0,0.03,0.29,3.23
Titanfall,2014.0,Shooter,Electronic Arts,1.84,0.8,0.04,0.27,2.95
Call of Duty: Ghosts,2013.0,Shooter,Activision,1.88,0.77,0.0,0.27,2.92
Minecraft,2014.0,Misc,Microsoft Game Studios,1.61,0.9,0.0,0.25,2.76
FIFA 17,2016.0,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65
Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,1.46,0.74,0.0,0.22,2.42
Madden NFL 16,2015.0,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42
NBA 2K16,2015.0,Sports,Take-Two Interactive,1.95,0.15,0.0,0.24,2.34
Battlefield 1,2016.0,Shooter,Electronic Arts,1.28,0.77,0.0,0.2,2.25
Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,1.48,0.55,0.0,0.21,2.23
Forza Motorsport 5,2013.0,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2
FIFA 15,2014.0,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,1.29,0.68,0.0,0.2,2.16
Battlefield 4,2013.0,Shooter,Electronic Arts,1.25,0.58,0.0,0.19,2.02
Forza Motorsport 6,2015.0,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8
NBA 2K15,2014.0,Sports,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72
Far Cry 4,2014.0,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63
Dead Rising 3,2013.0,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57
Watch Dogs,2014.0,Action,Ubisoft,0.9,0.53,0.0,0.14,1.57
Madden NFL 15,2014.0,Sports,Electronic Arts,1.31,0.09,0.0,0.16,1.57
Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49
